ID,contourArea,areaPercDiff,aspectRatio,momentLocDiff,localX,localY,label,Z,Y
1,672,67.741935,1.032258,23.953869,5.59375,18.360119,vortex,618.948914,359.820099
2,1847,26.633021,0.768421,48.214767,30.111176,18.103592,vortex,615.43866,356.447906
3,842.5,20.369923,0.468085,21.503258,7.714539,13.788719,no_vortex,619.977661,361.394348
4,1727.5,67.904874,0.90566,18.863678,4.103043,14.760635,vortex,614.544312,371.880157
5,319,69.95614,0.791667,58.618599,32.426857,26.191742,vortex,604.827698,369.095764
6,476,61.103979,0.463415,25.643204,18.353287,7.289917,vortex,615.874573,349.355255
7,1498,41.153846,1.346154,35.160553,19.322327,15.838226,vortex,611.517517,365.338074
8,1636,43.696581,1.384615,46.593628,27.951408,18.64222,vortex,601.431885,366.642181
9,1236,28.44649,0.696203,74.081711,38.556503,35.525208,vortex,599.378479,366.262604
10,223,25.632184,0.966667,21.828094,1.99028,19.837814,no_vortex,600.832825,177.338013
11,273,43.961353,0.851852,66.317467,27.56411,38.753357,vortex,600.463745,364.87677
12,347.5,54.467085,0.758621,27.114624,26.916069,0.198555,vortex,606.156006,368.566223
13,566,67.622461,0.870968,66.085098,11.748825,54.336273,vortex,615.908813,369.66803
14,1153,50.837743,0.777778,83.163345,23.057098,60.106247,vortex,616.854797,365.552887
15,5110,62.484715,0.925532,11.146645,6.334122,4.812523,vortex,614.776306,371.906158
16,3746,24.006665,0.441489,107.908035,101.843567,6.064468,no_vortex,660.416321,338.032104
17,772.5,67.763158,0.789474,83.224808,12.314774,70.910034,vortex,617.335205,363.954895
18,517,61.842105,0.431818,100.040298,55.563507,44.476791,vortex,608.756042,343.73819
19,479.5,64.709852,0.487179,87.567947,41.059784,46.508163,vortex,603.928162,343.253937
20,944.5,21.608328,0.505376,85.576309,41.31427,44.262043,no_vortex,625.192688,305.868774
21,434,30.138889,1.111111,52.984253,13.135178,39.849075,no_vortex,619.429199,359.424713
22,1124.5,43.500967,1.170213,26.240112,4.961914,21.278198,vortex,617.114502,373.139008
23,5774,21.943526,0.821229,43.737839,27.86528,15.872559,no_vortex,611.102783,364.709137
24,2500,30.281008,0.895833,21.475533,19.20253,2.273003,no_vortex,616.806885,365.136444
25,1091,30.871534,0.919355,169.21814,98.012375,71.205772,no_vortex,621.913879,360.397278
26,210,33.653846,3.692308,190.923798,75.680954,115.242844,no_vortex,598.912354,417.621735
27,211,37.017544,1.578947,63.146927,29.297005,33.849922,no_vortex,608.062378,353.575073
28,215,39.377289,1.238095,71.41008,59.89225,11.51783,no_vortex,611.244385,360.741455
29,788.5,26.257076,0.506494,23.90361,12.111816,11.791794,vortex,616.46521,377.89563
30,3728,21.775701,0.66875,49.285316,30.369949,18.915367,no_vortex,623.153564,363.042206
31,5563.5,23.775641,1.04,104.652519,53.201935,51.450584,no_vortex,633.699585,344.274719
32,241,51.495726,2.769231,70.25174,3.896271,66.355469,no_vortex,607.824036,334.82251
33,3089.5,50.855967,0.925926,17.143066,16.832443,0.310623,vortex,615.176331,368.655457
34,201,30.923077,0.961538,72.593681,67.999985,4.593697,vortex,625.21344,370.031311
35,1520,23.687081,1.347826,5.625225,5.283447,0.341778,vortex,607.652832,364.841522
36,4304,62.062004,1.30137,6.070862,2.1073,3.963562,vortex,606.630615,363.536652
37,1834,21.833333,0.761905,8.794434,8.328873,0.465561,vortex,611.525208,360.233032
38,2135,60.653409,0.859375,9.994606,7.950424,2.044182,vortex,606.657471,368.0224
39,436.5,67.779503,0.821429,65.158829,31.689575,33.469254,vortex,607.029053,372.234619
40,205.5,51.89394,0.818182,40.71857,19.3682,21.35037,vortex,605.1799,209.2299
41,258.5,31.75676,1.681818,10.8111,10.51451,0.296585,vortex,603.0675,215.7034
42,null,null,null,null,null,null,null,null,null
43,null,null,null,null,null,null,null,null,null
44,454.5,30.21942,1.46875,34.33003,24.98277,9.347267,vortex,597.7595,223.6527
45,null,null,null,null,null,null,null,null,null
46,null,null,null,null,null,null,null,null,null
47,null,null,null,null,null,null,null,null,null
48,null,null,null,null,null,null,null,null,null
49,null,null,null,null,null,null,null,null,null
50,null,null,null,null,null,null,null,null,null
51,274.5,22.799,1.535714,71.03398,2.367935,68.66605,no_vortex,599.1524,250.333
52,426.5,52.52463,1.035714,7.903091,6.369675,1.533417,vortex,600.0999,215.7333
53,254,28.86364,3.4375,152.3734,40.56693,111.8064,no_vortex,578.6222,271.4032
54,2190,22.27647,1.298851,127.8807,103.3323,24.54848,no_vortex,662.5549,242.0485
55,454,57.98212,0.931035,4.094337,3.801392,0.292946,vortex,600.3627,216.1465
56,1118.5,30.01879,0.782609,12.9252,1.743408,11.18179,vortex,598.6922,221.5909
57,206,36.14035,2.533333,72.50647,2.0793,70.42717,no_vortex,599.592,250.7136
58,2478,36.94097,0.906977,10.84731,9.846375,1.000938,no_vortex,604.2668,217.9995
59,389,47.9064,1.035714,5.584412,1.084839,4.499573,vortex,599.5154,214.7502
60,293,43.92804,1.26087,5.8396,2.34642,3.493179,vortex,598.9519,215.7534
61,null,null,null,null,null,null,null,null,null
62,942,39.25,0.96,12.29794,11.01698,1.28096,vortex,596.6893,217.6405
63,339,35.87302,1.296296,11.15486,9.29007,1.864792,vortex,597.9743,217.9324
64,642,29.11565,1.088889,14.32839,11.4704,2.857994,no_vortex,605.1234,216.071
65,333.5,35.29101,1.296296,11.79561,9.007004,2.788605,vortex,597.627,218.8943
66,621,69,1.44,21.5349,17.8685,3.666397,vortex,595.9937,219.6664
67,784.5,28.01786,1.12,59.75122,8.288086,51.46314,no_vortex,598.8809,242.2316
68,281,36.02564,1.153846,10.21352,7.876038,2.337479,vortex,596.6395,218.1687
69,264,69.84127,1.166667,9.147095,7.662247,1.484848,vortex,596.5117,216.2424
70,2356,33.85058,0.91954,13.29173,10.98712,2.304611,no_vortex,604.6146,217.6523
71,1983.5,46.60479,0.736842,22.19729,11.38736,10.80993,vortex,595.983,221.905
72,284.5,60.7906,1.444444,29.35794,26.99239,2.365555,vortex,595.194,218.8656
73,861,68.44197,1.088235,22.6719,18.72145,3.950447,vortex,595.3234,217.9752
74,847,69.14286,1,19.78493,11.159,8.625931,vortex,595.148,219.313
75,213.5,37.19512,2.928571,113.5425,58.82123,54.72131,no_vortex,622.8324,188.1393
76,445.5,28.55769,0.975,37.34007,26.73663,10.60344,no_vortex,590.4836,223.3017
77,1355,29.22778,0.802632,43.18832,24.26507,18.92325,vortex,590.3895,226.9616
78,279.5,26.2688,1.357143,50.81515,22.58021,28.23494,no_vortex,595.5325,243.7349
79,804,24.25339,0.784615,62.92081,10.80742,52.11339,no_vortex,595.3889,243.5567
80,235.5,28.86029,0.705882,26.02052,15.48409,10.53644,vortex,594.5322,224.7682
81,214,71.33333,0.75,22.51558,16.68536,5.830215,vortex,591.7697,220.4151
82,1238.5,32.53218,1.723404,68.4395,0.118958,68.32054,no_vortex,599.9445,253.6603
83,null,null,null,null,null,null,null,null,null
84,597,55.53488,0.581395,36.64545,26.80933,9.836121,vortex,590.7933,223.9181
85,761,63.41667,0.520833,39.21945,27.24748,11.97197,vortex,590.8295,225.986
86,720,32.66788,2.62069,156.7245,48.63033,108.0942,no_vortex,577.6575,275.5471
